"filename", "language", "TypeScript", "vue", "comment", "blank", "total"
"d:\vite-npm\my-vue-app\src\components\SkuForm\hooks\sourceAttr.ts", "TypeScript", 2, 0, 0, 2, 4
"d:\vite-npm\my-vue-app\src\components\SkuForm\index.ts", "TypeScript", 1, 0, 0, 0, 1
"d:\vite-npm\my-vue-app\src\components\SkuForm\props\index.ts", "TypeScript", 54, 0, 14, 2, 70
"d:\vite-npm\my-vue-app\src\components\SkuForm\src\index.vue", "vue", 0, 135, 0, 21, 156
"d:\vite-npm\my-vue-app\src\components\SkuForm\types\index.ts", "TypeScript", 39, 0, 6, 5, 50
"d:\vite-npm\my-vue-app\src\components\SkuForm\types\skeleton.ts", "TypeScript", 8, 0, 0, 2, 10
"d:\vite-npm\my-vue-app\src\components\SkuForm\utils\index.ts", "TypeScript", 33, 0, 8, 3, 44
"Total", "-", 137, 135, 28, 35, 335
