"filename", "language", "TypeScript", "vue", "comment", "blank", "total"
"d:\vite-npm\my-vue-app\src\components\SkuForm\hooks\sourceAttr.ts", "TypeScript", 2, 0, 0, 2, 4
"d:\vite-npm\my-vue-app\src\components\SkuForm\index.ts", "TypeScript", 1, 0, 0, 0, 1
"d:\vite-npm\my-vue-app\src\components\SkuForm\props\index.ts", "TypeScript", 54, 0, 14, 2, 70
"d:\vite-npm\my-vue-app\src\components\SkuForm\src\index.vue", "vue", 0, 143, 0, 23, 166
"d:\vite-npm\my-vue-app\src\components\SkuForm\types\index.ts", "TypeScript", 39, 0, 6, 5, 50
"d:\vite-npm\my-vue-app\src\components\SkuForm\types\skeleton.ts", "TypeScript", 22, 0, 0, 3, 25
"d:\vite-npm\my-vue-app\src\components\SkuForm\utils\index.ts", "TypeScript", 68, 0, 11, 9, 88
"Total", "-", 186, 143, 31, 44, 404
